Vendor,Country,Shipment Mode,Product Group,Freight Cost (USD),cost_per_kg,Line Item Value,is_delayed,delay_risk_prob,predicted_delay,risk_category
Aurobindo Pharma Limited,Nigeria,Air,ARV,4861.14,10.148517745302716,2994.9,False,0.003413718509718576,0,Low
CIPLA LIMITED,Vietnam,Air,ARV,18772.94,7.290462135922329,276100.0,False,0.0032439392879676913,0,Low
STRIDES ARCOLAB LIMITED,Vietnam,Air,ARV,42453.21,4.629575790621592,144205.0,False,0.0011486107433040225,0,Low
"Trinity Biotech, Plc",Guyana,Air,HRDT,4989.87,15.790727848101266,36000.0,False,0.003185165832761533,0,Low
ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),Mozambique,Air,ARV,0.0,0.0,3288.0,False,0.002954288346664481,0,Low
CIPLA LIMITED,Vietnam,Air,ARV,31858.09,4.676073682665493,525000.0,False,0.002109804027917159,0,Low
CIPLA LIMITED,Rwanda,Air,ARV,0.0,0.0,1087970.4,False,0.001755837918955977,0,Low
CIPLA LIMITED,Rwanda,Air,ARV,0.0,0.0,202340.5,False,0.0014375421778384165,0,Low
Abbott GmbH & Co. KG,Ethiopia,Air,HRDT,0.0,0.0,16000.0,False,0.002962542025294541,0,Low
CIPLA LIMITED,Vietnam,Air,ARV,21439.59,9.131000851788757,187500.0,False,0.002315055488786436,0,Low
BIO-RAD LABORATORIES (FRANCE),Nigeria,Air,HRDT,4445.75,11.05907960199005,28500.0,True,0.4201336468924368,1,High
Abbott GmbH & Co. KG,Ethiopia,Air,HRDT,24859.45,14.563239601640305,372000.0,False,0.003946466428893613,0,Low
BRISTOL-MYERS SQUIBB,C̫te d'Ivoire,Air,ARV,0.0,0.0,14981.5,False,0.0010008270901302044,0,Low
Abbott GmbH & Co. KG,Nigeria,Air,HRDT,5858.57,4.9066750418760465,280000.0,False,0.005521437214398276,0,Low
BRISTOL-MYERS SQUIBB,C̫te d'Ivoire,Air,ARV,0.0,0.0,40565.0,False,0.0004794037486332869,0,Low
Aurobindo Pharma Limited,Vietnam,Air,ARV,13762.41,14.33584375,1920.0,False,0.004507520740477516,0,Low
Aurobindo Pharma Limited,Vietnam,Air,ARV,0.0,0.0,2100.0,False,0.0011516545960062478,0,Low
Aurobindo Pharma Limited,Vietnam,Air,ARV,0.0,0.0,2100.0,False,0.001182414038537605,0,Low
Aurobindo Pharma Limited,Vietnam,Air,ARV,4454.62,13.417530120481928,40500.0,False,0.007174537539618109,0,Low
Aurobindo Pharma Limited,Vietnam,Air,ARV,16095.39,8.232936061381073,277425.0,False,0.004246804465042118,0,Low
ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),Vietnam,Air,ARV,1767.38,15.105811965811967,41095.0,False,0.0025976220805858747,0,Low
"Standard Diagnostics, Inc.",Tanzania,Air,HRDT,25165.3,7.5435551558753,200000.0,False,0.0012352714403666438,0,Low
ASPEN PHARMACARE,Rwanda,Air,ARV,7922.24,50.46012738853503,27353.0,False,0.003007088571864964,0,Low
"JSI R&T INSTITUTE, INC.",South Africa,Unknown,ARV,0.0,0.0,1447.8,False,0.007058780907306644,0,Low
"JSI R&T INSTITUTE, INC.",South Africa,Unknown,ARV,0.0,0.0,2850.0,False,0.0017015934546929692,0,Low
ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),Vietnam,Air,ARV,2535.4,7.523442136498517,18333.0,False,0.0001644298253720968,0,Low
"CHEMBIO DIAGNOSTIC SYSTEMS, INC.",Nigeria,Air,HRDT,28002.75,8.394109712230216,270000.0,False,0.00480492027522131,0,Low
MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),Rwanda,Air,ARV,1511.25,13.373893805309734,30222.5,False,0.002457294713852827,0,Low
Aurobindo Pharma Limited,Vietnam,Air,ARV,2429.85,19.4388,2100.0,False,0.0026774075706433847,0,Low
Orasure Technologies Inc.,Kazakhstan,Air,HRDT,0.0,0.0,17500.0,False,0.0028076877606393207,0,Low
"Orgenics, Ltd",Nigeria,Air,HRDT,2577.27,17.413986486486486,51993.5,False,0.007323332734662566,0,Low
"JSI R&T INSTITUTE, INC.",South Africa,Unknown,ARV,0.0,0.0,573.0,False,0.0031986612508118155,0,Low
"Trinity Biotech, Plc",Botswana,Air,HRDT,2496.62,16.21181818181818,14400.0,False,0.0015300067709203779,0,Low
"CHEMBIO DIAGNOSTIC SYSTEMS, INC.",Nigeria,Air,HRDT,18864.37,6.489291365669074,277290.0,False,0.005934534692519669,0,Low
"Trinity Biotech, Plc",Mozambique,Air,HRDT,55746.59,6.1940655555555555,288000.0,False,0.0004303620227451521,0,Low
"Trinity Biotech, Plc",Zambia,Air,HRDT,24689.0,12.03167641325536,193280.0,False,0.000433451528388294,0,Low
"Orgenics, Ltd",Zambia,Air,HRDT,0.0,0.0,43.0,False,0.0026591711563392914,0,Low
"CHEMBIO DIAGNOSTIC SYSTEMS, INC.",C̫te d'Ivoire,Air,HRDT,1104.69,13.983417721518988,7803.0,False,0.0031526568588795727,0,Low
"Orgenics, Ltd",Mozambique,Air,HRDT,5298.9,7.769648093841642,215970.0,False,0.007812400539127151,0,Low
"Orgenics, Ltd",C̫te d'Ivoire,Air,HRDT,0.0,0.0,0.7,False,0.003877550387614912,0,Low
"Orgenics, Ltd",C̫te d'Ivoire,Air,HRDT,5175.72,20.29694117647059,78120.0,False,0.013399308983102957,0,Low
"Orgenics, Ltd",C̫te d'Ivoire,Air,HRDT,7118.12,27.80515625,78120.0,False,0.01851003578154515,0,Low
"Trinity Biotech, Plc",Guyana,Air,HRDT,3740.04,4.495240384615385,26624.0,False,0.0029837779634256504,0,Low
"Orgenics, Ltd",Guyana,Air,HRDT,959.46,19.580816326530613,15333.87,False,0.058266000992432294,0,Moderate
Orasure Technologies Inc.,Botswana,Air,HRDT,604.0,15.487179487179487,3500.0,False,0.002187892407691884,0,Low
"Orgenics, Ltd",Zimbabwe,Air,HRDT,0.0,0.0,16.34,False,0.006445542255774533,0,Low
S. BUYS WHOLESALER,South Africa,Truck,ARV,0.0,0.0,15760.0,False,0.006458247186879187,0,Low
S. BUYS WHOLESALER,South Africa,Truck,ARV,0.0,0.0,47.28,False,0.005928554630152254,0,Low
S. BUYS WHOLESALER,South Africa,Truck,ARV,0.0,0.0,10925.0,False,0.013024036717605388,0,Low
Aurobindo Pharma Limited,Vietnam,Air,ARV,4159.45,8.20404339250493,29232.0,False,0.0032618536289462955,0,Low
MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),Vietnam,Air,ARV,3796.05,7.272126436781609,77145.6,False,0.0012960613194314388,0,Low
"Orgenics, Ltd",C̫te d'Ivoire,Air,HRDT,0.0,0.0,2.5,False,0.0038949014094514693,0,Low
S. BUYS WHOLESALER,South Africa,Unknown,ARV,0.0,0.0,4614.0,False,0.006248594574332055,0,Low
S. BUYS WHOLESALER,South Africa,Unknown,ARV,0.0,0.0,4155.0,False,0.006350524822611521,0,Low
S. BUYS WHOLESALER,South Africa,Unknown,ARV,0.0,0.0,1849.0,False,0.001456719045263959,0,Low
"Orgenics, Ltd",Nigeria,Air,HRDT,0.0,0.0,11.3,False,0.012777584652360365,0,Low
BRISTOL-MYERS SQUIBB,Vietnam,Air,ARV,3013.09,37.19864197530865,2800.0,False,0.00059731878972637,0,Low
STRIDES ARCOLAB LIMITED,Vietnam,Air,ARV,7575.6,15.090836653386456,15631.0,False,0.0011349699273681907,0,Low
S. BUYS WHOLESALER,South Africa,Truck,ARV,0.0,0.0,24783.3,False,0.006872023057768792,0,Low
S. BUYS WHOLESALER,South Africa,Truck,ARV,0.0,0.0,11060.0,False,0.013176904235501113,0,Low
S. BUYS WHOLESALER,South Africa,Truck,ARV,0.0,0.0,16630.0,False,0.012588065576657988,0,Low
S. BUYS WHOLESALER,South Africa,Truck,ARV,0.0,0.0,435.9,False,0.009882026823689218,0,Low
"Orgenics, Ltd",Haiti,Air,HRDT,2851.72,11.096186770428014,78610.0,False,0.006081084589563194,0,Low
"Trinity Biotech, Plc",Rwanda,Air,HRDT,5446.06,23.273760683760685,47260.0,False,0.0004977181801576455,0,Low
Aurobindo Pharma Limited,Rwanda,Air,ARV,30408.04,5.725482959894559,569281.31,False,0.008586334804197248,0,Low
Aurobindo Pharma Limited,Rwanda,Air,ARV,38120.96,5.632529550827423,725539.69,False,0.008380470091776126,0,Low
Aurobindo Pharma Limited,Vietnam,Air,ARV,0.0,0.0,37023.0,False,0.00339356131024607,0,Low
Aurobindo Pharma Limited,Vietnam,Air,ARV,5822.44,5.226606822262118,26143.5,False,0.0028312407734208695,0,Low
S. BUYS WHOLESALER,South Africa,Truck,ARV,0.0,0.0,663.5,True,0.5757640109268185,1,High
S. BUYS WHOLESALER,South Africa,Truck,ARV,0.0,0.0,715.0,False,0.007845173139671284,0,Low
S. BUYS WHOLESALER,South Africa,Truck,ARV,0.0,0.0,1096.2,False,0.003039346420048559,0,Low
S. BUYS WHOLESALER,South Africa,Truck,ARV,0.0,0.0,150.48,False,0.002964782072055084,0,Low
"Orgenics, Ltd",Zambia,Air,HRDT,7303.52,8.215433070866142,30.0,False,0.0024173946949831776,0,Low
"Orgenics, Ltd",Guyana,Air,HRDT,1047.39,21.375306122448983,15333.87,False,0.04917528345701962,0,Low
"Orgenics, Ltd",Nigeria,Air,HRDT,24870.05,12.90609756097561,65.02,False,0.0030182438369820283,0,Low
"Orgenics, Ltd",Nigeria,Air,HRDT,19992.75,12.76676245210728,549931.25,False,0.006189873261452043,0,Low
ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),Vietnam,Air,ARV,2709.98,23.98212389380531,35674.8,False,0.0030836670742191404,0,Low
Aurobindo Pharma Limited,Vietnam,Air,ARV,2568.6,16.154716981132076,12540.0,False,0.007530728238354696,0,Low
MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),Vietnam,Air,ARV,3247.73,5.298091353996737,85596.0,False,0.0014670878561471523,0,Low
CIPLA LIMITED,Vietnam,Air,ARV,2335.19,7.2296904024767805,26448.0,False,0.001985888076318105,0,Low
ZEPHYR BIOMEDICALS,Guyana,Air,MRDT,648.27,19.066764705882353,4050.0,False,0.006142524025877339,0,Low
"CHEMBIO DIAGNOSTIC SYSTEMS, INC.",Ethiopia,Air,HRDT,11066.17,5.154247787610619,160866.0,False,0.003151247605627988,0,Low
